"TOA5","CR1000","CR1000","E9189","CR1000.Std.27.04","CPU:M1 - LTER Catchment station - 160517.CR1","22723","MeteoVal"
"TIMESTAMP","RECORD","BattV_Avg","T_Log_Avg","T_Air_Avg","T_Air_Std","RH","Wind_Dir","Wind_Speed_Avg","Wind_Speed_Max","Wind_Speed_Std","Wind_Diag","Wind_SmplsF_Tot","Wind_Diag1F","Wind_Diag2F","Wind_Diag4F","Wind_Diag8F","Wind_Diag9F","Wind_Diag10F","Wind_NNDF","Tip_Precip_Tot","SWC_A_02_Avg","SWC_A_02_Std","SWC_ST_A_02_Avg","SWC_ST_A_02_Std","SWC_A_05_Avg","SWC_A_05_Std","SWC_ST_A_05_Avg","SWC_ST_A_05_Std","SWC_A_20_Avg","SWC_A_20_Std","SWC_ST_A_20_Avg","SWC_ST_A_20_Std","SWP_A_05","SWP_ST_A_05","SWP_A_20","SWP_ST_A_20","SR_Sw_Avg","SR_Sw_Std","PAR_Up_Avg","PAR_Up_Std","PAR_Soil_Avg","PAR_Soil_Std"
"TS","RN","Volts","Deg C","Deg C","Deg C","%","degrees","meters/second","meters/second","meters/second","unitless","","","","","","","","","mm/15min","m^3/m^3","m^3/m^3","Deg C","Deg C","m^3/m^3","m^3/m^3","Deg C","Deg C","m^3/m^3","m^3/m^3","Deg C","Deg C","kPa","Deg C","kPa","Deg C","W/m2","W/m2","umol/m2s1","umol/m2s1","umol/m2s1","umol/m2s1"
"","","Avg","Avg","Avg","Std","Smp","Smp","Avg","Max","Std","Smp","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Smp","Smp","Smp","Smp","Avg","Std","Avg","Std","Avg","Std"
"2016-05-10 15:45:00",0,12.58,24.16,23.82,0.044,44.03,"NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,0,0,1,0,0,0,23.88,0.008,0,0,23.81,0.01,0,0,24.07,0.018,"NAN",0,"NAN",0,-2716,807,-283.9,43.43,-738.7,66.27
"2016-05-10 16:00:00",1,12.58,24.21,24.84,1.539,40.36,"NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,0,0,1,0,0.01384667,0.052,23.95,0.087,0.00762,0.025,23.92,0.137,0.01245333,0.047,23.94,0.087,"NAN",0,"NAN",0,340.9,870,-117.8,203.7,-301.2,169.9
"2016-05-10 16:15:00",2,12.58,24.48,24.38,0.016,43.32,"NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,0,0,1,0,0,0,24.06,0.013,0,0,24.09,0.003,0,0,24.08,0.011,"NAN",0,"NAN",0,1627,11.8,917,10.41,395.5,20.79
"2016-05-10 16:30:00",3,12.58,24.55,24.25,0.057,44.91,"NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,0,0,1,0,0,0,23.97,0.035,0,0,24.04,0.022,0,0,24.06,0.013,-9.3,23.3,-9.2,23.4,1728,40.65,1022,47.21,583.1,76.2
"2016-05-10 16:45:00",4,12.57,24.64,24.23,0.089,44.6,118,"NAN","NAN","NAN",0,11,0,0,0,0,0,0,0,0,0,0,23.91,0.013,0,0,24,0.012,0,0,24.06,0.011,-9.4,23.9,-9.2,22.9,1856,35.82,1170,38.35,788.5,44.11
"2016-05-10 17:00:00",5,12.57,24.67,24.02,0.029,45.22,195,0.055,0.11,0.027,0,15,0,0,0,0,0,0,0,0,0,0,23.89,0.011,0,0,23.99,0.014,0,0,24.06,0.017,-9.3,24.2,-9.4,23.2,1253,741.2,408.8,1438,731.3,338
"2016-05-11 15:00:00",6,12.58,23.99,23.62,0.029,51.8,196,0.045,0.08,0.016,0,15,0,0,0,0,0,0,0,4,0,0,23.66,0.013,0,0,23.72,0.016,0,0,23.82,0.016,-10,24.1,-1052,23.8,367.4,147.5,488.3,116,-143.9,126
"2016-05-11 15:15:00",7,12.58,24.04,23.62,0.026,52.11,177,0.033,0.05,0.013,0,15,0,0,0,0,0,0,0,0,0,0,23.68,0.01,0,0,23.76,0.018,0,0,23.87,0.016,-10,24.1,-1213,23.8,865,165.6,328.7,9.1,191,75.95
"2016-05-17 17:30:00",8,12.59,22.99,-132.1,15.8,81.4,"NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,0,0,1,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN",0,"NAN",0,3596,792.3,938,311.8,-472.3,194.8
"2016-05-17 17:45:00",9,12.6,23.06,-141.8,0.619,83,"NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,0,0,1,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN",0,"NAN",0,4233,11.21,2235,376.8,207.8,199.5
"2016-05-17 18:00:00",10,12.59,23.07,-140.8,0.131,83.3,"NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,0,0,1,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN",0,"NAN",0,4210,14.73,3093,121.8,864,175.4
"2016-05-17 18:15:00",11,12.59,23.04,-140.7,0.294,82.8,"NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,0,0,1,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN",0,"NAN",0,4190,8.58,3319,14.3,1545,204
"2016-05-17 18:30:00",12,12.59,22.84,-141,0.289,83.5,"NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,0,0,1,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN",0,"NAN",0,4193,4.297,3331,2.276,2187,153.4
"2016-05-17 18:45:00",13,12.59,22.55,-140.9,0.162,83.7,"NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,0,0,1,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN",0,"NAN",0,4197,10.16,3332,2.46,2546,58.44
"2016-05-17 19:00:00",14,12.59,22.26,-140.5,0.119,82.9,"NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,0,0,1,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN",0,"NAN",0,4181,12.44,3323,7.748,2660,11.59
"2016-05-17 19:15:00",15,12.59,21.97,-140.5,0.153,83.2,"NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,0,0,1,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN",0,"NAN",0,4185,12.21,3309,4.781,2672,1.493
"2016-05-17 19:30:00",16,12.59,21.68,-140.7,0.127,83.4,"NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,0,0,1,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN",0,"NAN",0,4193,2.693,3319,2.13,2678,1.368
"2016-05-17 19:45:00",17,12.59,21.43,-140.5,0.135,83.4,"NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,0,0,1,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN",0,"NAN",0,4191,6.926,3319,2.275,2682,1.05
"2016-05-17 20:00:00",18,12.59,21.19,-140.5,0.201,83.7,"NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,0,0,1,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN",0,"NAN",0,4207,10.67,3328,5.87,2686,2.516
"2016-05-17 20:15:00",19,12.59,20.96,-140.6,0.207,83.3,"NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,0,0,1,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN",0,"NAN",0,4200,4.49,3332,2.664,2694,0.92
"2016-05-17 20:30:00",20,12.58,20.75,-140.6,0.252,83.5,"NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,0,0,1,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN",0,"NAN",0,4203,7.277,3330,2.759,2692,1.493
"2016-05-17 20:45:00",21,12.58,20.55,-140.9,0.163,82.9,"NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,0,0,1,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN","NAN",0,0,"NAN",0,"NAN",0,4214,5.092,3343,3.388,2700,3.153
