"TOA5","CR1000","CR1000","E9189","CR1000.Std.27.04","CPU:M1&S2 - LTER Catchment station - 160616.cr1","57598","MeteoVal"
"TIMESTAMP","RECORD","BattV_Avg","T_Log_Avg","T_Air_Avg","T_Air_Std","RH","Wind_Dir","Wind_Speed_Avg","Wind_Speed_Max","Wind_Speed_Std","Wind_SmplsF_Tot","Wind_Diag1F_Tot","Wind_Diag2F_Tot","Wind_Diag4F_Tot","Wind_Diag8F_Tot","Wind_Diag9F_Tot","Wind_Diag10F_Tot","Wind_NNDF_Tot","Tip_Precip_Tot","SWC_A_02_Avg","SWC_A_02_Std","SWC_ST_A_02_Avg","SWC_ST_A_02_Std","SWC_A_05_Avg","SWC_A_05_Std","SWC_ST_A_05_Avg","SWC_ST_A_05_Std","SWC_A_20_Avg","SWC_A_20_Std","SWC_ST_A_20_Avg","SWC_ST_A_20_Std","SWP_A_05_Avg","SWP_A_05_Std","SWP_ST_A_05_Avg","SWP_ST_A_05_Std","SWP_A_20_Avg","SWP_A_20_Std","SWP_ST_A_20_Avg","SWP_ST_A_20_Std","SR_Sw_Avg","SR_Sw_Std","PAR_Up_Avg","PAR_Up_Std","PAR_Soil_Avg","PAR_Soil_Std"
"TS","RN","Volts","Deg C","Deg C","Deg C","%","degrees","meters/second","meters/second","meters/second","","","","","","","","","mm/15min","m^3/m^3","m^3/m^3","Deg C","Deg C","m^3/m^3","m^3/m^3","Deg C","Deg C","m^3/m^3","m^3/m^3","Deg C","Deg C","kPa","kPa","Deg C","Deg C","kPa","kPa","Deg C","Deg C","W/m2","W/m2","umol/m2s1","umol/m2s1","umol/m2s1","umol/m2s1"
"","","Avg","Avg","Avg","Std","Smp","Smp","Avg","Max","Std","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std"
"2017-06-27 12:15:00",34939,13.86,19.32,15.8,0.286,86.2,198,3.115,4.83,0.842,15,0,0,0,0,0,0,0,0,0.2471067,0,18.39,0.215,0.11304,0,18.35,0.228,0.07313333,0,15.39,0.014,-10.13,0.239,16.23,0.085,-1134,9.64,15.7,0,3493,15.54,1979,608.9,171.8,61.3
"2017-06-27 12:30:00",34940,13.85,18.64,15.9,0.236,82.2,208,2.693,3.91,0.79,15,0,0,0,0,0,0,0,0,0.2465,0,19.05,0.161,0.11352,0,19.12,0.208,0.07314,0,15.38,0.009,-10.09,0.205,16.53,0.1,-1131,13.15,15.7,0,3332,38.61,2162,500.3,204.6,61.42
"2017-06-27 12:45:00",34941,13.85,18.46,15.84,0.537,93.7,242,3.28,4.75,0.691,15,0,0,0,0,0,0,0,0,0.2455667,0,19.55,0.134,0.1139933,0,19.77,0.174,0.07311333,0,15.37,0.019,-10.13,0.157,16.84,0.095,-1132,11.73,15.7,0,3289,50.67,1684,688.3,156,92.7
"2017-06-27 13:00:00",34942,13.87,18.39,15.16,0.212,90.2,224,2.799,3.89,0.711,15,0,0,0,0,0,0,0,0,0.2445733,0,19.9,0.07,0.1144933,0,20.29,0.125,0.07316,0,15.39,0.013,-10.18,0.204,17.14,0.095,-1133,9.62,15.7,0,3463,33.54,766.1,312,52.75,33.83
"2017-06-27 13:15:00",34943,13.88,17.87,14.37,0.123,86.5,215,3.046,4.25,0.734,15,0,0,0,0,0,0,0,0,0.24466,0,19.97,0.018,0.11516,0,20.59,0.049,0.07312667,0,15.4,0.017,-10.26,0.265,17.42,0.075,-1127,10.26,15.7,0,3477,21.92,381,19.81,24.45,1.839
"2017-06-27 13:30:00",34944,13.89,17.11,13.98,0.129,91.4,153,2.225,3.56,0.806,15,0,0,0,0,0,0,0,0,0.2443666,0,19.82,0.07,0.1151067,0,20.66,0.011,0.07314666,0,15.42,0.017,-10.15,0.05,17.65,0.05,-1133,7.745,15.7,0,3469,28.88,372.9,134.9,18.23,6.184
"2017-06-27 13:45:00",34945,13.91,16.66,14.4,0.243,90.2,28,0.645,1.43,0.384,15,0,0,0,0,0,0,0,0,0.2436933,0,19.56,0.076,0.1158,0,20.57,0.044,0.07310666,0,15.44,0.016,-10.19,0.025,17.83,0.047,-1130,9.81,15.7,0,3536,24.63,851,207.3,54.23,19.07
"2017-06-27 14:00:00",34946,13.88,17.17,14.9,0.26,89.8,69,1.317,2.75,0.641,15,0,0,0,0,0,0,0,0,0.2436933,0,19.39,0.03,0.1158,0,20.42,0.042,0.07312667,0,15.49,0.02,-10.26,0.162,17.94,0.049,-1131,9.87,15.7,0,3470,75.2,1689,449.3,98.8,10.53
