"Plot Title: 10432475"
"#";"Date Time, GMT+01:00";"Rain, mm (SEN S/N: 2301096)";"Solar Radiation, W/m² (SEN S/N: 2375827)";"Wind Speed, m/s (SEN S/N: 2385148)";"Gust Speed, m/s (SEN S/N: 2385148)";"Wind Direction, ø (SEN S/N: 2385148)";"Voltage, V (SEN S/N: 2387796, LBL: PAR_Up)";"Voltage, V (SEN S/N: 2387803, LBL: PAR_down)";"Water Content, m³/m³ (SEN S/N: 2391324, LBL: 20cm)";"Water Content, m³/m³ (SEN S/N: 2391331, LBL: 5cm)";"Temp, °C (SEN S/N: 2397072)";"RH, % (SEN S/N: 2397072)";"Batt, V"
1;2014-02-14 10:30:00;;645.6;0.93;3.34;101.1;0.2789;0.0031;0.2744;0.2321;7.569;27.600;4.176
2;2014-02-14 10:45:00;0.00;671.9;0.93;3.34;141.8;0.2936;0.0043;0.2744;0.2321;7.368;26.900;4.158
3;2014-02-14 11:00:00;0.00;693.1;1.11;3.15;137.6;0.3046;0.0055;0.2738;0.2321;7.393;31.200;4.170
4;2014-02-14 11:15:00;0.00;710.6;1.86;3.53;146.0;0.3156;0.0067;0.2744;0.2316;7.167;32.500;4.188
5;2014-02-14 11:30:00;0.00;724.4;1.30;3.53;137.6;0.3229;0.0079;0.2767;0.2316;7.242;36.000;4.170
6;2014-02-14 11:45:00;0.00;736.9;1.30;3.90;141.8;0.3302;0.0104;0.2796;0.2316;7.770;29.700;4.170
7;2014-02-14 12:00:00;0.00;746.9;1.11;2.78;108.1;0.3351;0.0116;0.2836;0.2316;8.195;27.500;4.170
8;2014-02-14 12:15:00;0.00;750.6;0.37;3.90;103.9;0.3387;0.0116;0.2893;0.2316;8.519;28.600;4.170
9;2014-02-14 12:30:00;0.00;749.4;2.78;4.82;150.2;0.3387;0.0116;0.2950;0.2321;7.895;34.200;4.170
10;2014-02-14 12:45:00;0.00;744.4;3.15;4.64;153.0;0.3363;0.0116;0.3018;0.2333;7.845;34.000;4.170
11;2014-02-14 13:00:00;0.00;740.6;2.97;4.82;154.4;0.3339;0.0116;0.3087;0.2344;8.220;34.200;4.170
12;2014-02-14 13:15:00;0.00;728.1;3.15;5.01;157.2;0.3290;0.0116;0.3133;0.2361;8.195;29.500;4.170
13;2014-02-14 13:30:00;0.00;716.9;2.97;4.45;169.9;0.3217;0.0104;0.3173;0.2379;8.120;34.800;4.170
14;2014-02-14 13:45:00;0.00;696.9;3.15;4.64;169.9;0.3143;0.0104;0.3201;0.2401;8.295;33.700;4.170
15;2014-02-14 14:00:00;0.00;680.6;2.78;5.01;165.7;0.3046;0.0092;0.3218;0.2436;8.568;28.400;4.188
16;2014-02-14 14:15:00;0.00;656.9;1.86;4.27;165.7;0.2924;0.0079;0.3224;0.2464;8.841;30.200;4.170
17;2014-02-14 14:30:00;0.00;630.6;3.15;4.64;160.0;0.2789;0.0079;0.3224;0.2493;8.444;28.800;4.170
18;2014-02-14 14:45:00;0.00;601.9;2.78;4.08;164.3;0.2655;0.0067;0.3230;0.2521;8.767;29.600;4.170
19;2014-02-14 15:00:00;0.00;570.6;2.97;4.45;151.6;0.2496;0.0067;0.3224;0.2550;8.319;34.200;4.170
20;2014-02-14 15:15:00;0.00;535.6;2.97;4.64;165.7;0.2313;0.0055;0.3218;0.2567;8.717;29.200;4.170
21;2014-02-14 15:30:00;0.00;498.1;2.60;3.90;167.1;0.2130;0.0043;0.3213;0.2584;8.717;30.600;4.170
22;2014-02-14 15:45:00;0.00;458.1;2.78;4.08;169.9;0.1935;0.0031;0.3201;0.2596;8.693;32.000;4.170
23;2014-02-14 16:00:00;0.00;416.9;2.78;3.90;172.7;0.1727;0.0018;0.3190;0.2601;8.593;30.000;4.170
24;2014-02-14 16:15:00;0.00;371.9;2.60;3.34;171.3;0.1495;0.0018;0.3178;0.2607;8.618;30.200;4.170
