"Plot Title: 10432475"
"#";"Date Time, GMT+01:00";"Rain, mm (SEN S/N: 2301096)";"Solar Radiation, W/m² (SEN S/N: 2375827)";"Wind Speed, m/s (SEN S/N: 2385148)";"Gust Speed, m/s (SEN S/N: 2385148)";"Wind Direction, ø (SEN S/N: 2385148)";"Water Content, m³/m³ (SEN S/N: 2391324, LBL: 20cm)";"Water Content, m³/m³ (SEN S/N: 2391331, LBL: 5cm)";"Temp, °C (SEN S/N: 2397072)";"RH, % (SEN S/N: 2397072)"
1;2016-05-18 11:30:00;;1,010.6;0.00;0.00;206.4;0.1099;0.1396;9.262;56.900
2;2016-05-18 11:45:00;0.00;971.9;0.00;3.15;203.6;0.1099;0.1396;9.485;55.900
3;2016-05-18 12:00:00;0.00;1,058.1;0.00;0.00;207.8;0.1099;0.1396;9.608;52.600
4;2016-05-18 12:15:00;0.00;1,089.4;0.00;0.00;203.6;0.1093;0.1396;9.952;53.300
5;2016-05-18 12:30:00;0.00;425.6;0.00;3.15;198.0;0.1093;0.1390;8.990;52.900
6;2016-05-18 12:45:00;0.00;1,164.4;0.00;0.37;199.4;0.1093;0.1390;9.460;56.500
7;2016-05-18 13:00:00;0.00;361.9;0.00;0.00;200.8;0.1093;0.1390;9.534;55.000
8;2016-05-18 13:15:00;0.00;295.6;0.00;0.00;203.6;0.1093;0.1390;9.386;54.500
9;2016-05-18 13:30:00;0.00;283.1;0.00;0.00;202.2;0.1093;0.1390;9.558;52.200
10;2016-05-18 13:45:00;0.00;488.1;0.00;0.56;193.7;0.1093;0.1390;10.858;51.900
11;2016-05-18 14:00:00;0.00;31.9;0.00;2.41;189.5;0.1087;0.1390;10.980;49.000
12;2016-05-18 14:15:00;0.00;24.4;0.37;5.94;195.1;0.1087;0.1390;11.248;48.900
13;2016-05-18 14:30:00;0.00;400.6;0.37;6.31;192.3;0.1087;0.1390;11.029;49.100
14;2016-05-18 14:45:00;0.00;755.6;0.19;5.01;190.9;0.1087;0.1390;11.078;50.400
15;2016-05-18 15:00:00;0.00;549.4;0.74;6.68;193.7;0.1087;0.1390;10.492;51.700
16;2016-05-18 15:15:00;0.00;740.6;0.19;5.38;195.1;0.1082;0.1390;10.638;51.900
17;2016-05-18 15:30:00;0.00;680.6;0.19;4.64;190.9;0.1087;0.1390;10.492;51.600
18;2016-05-18 15:45:00;0.00;576.9;0.19;5.01;192.3;0.1087;0.1384;10.247;53.600
19;2016-05-18 16:00:00;0.00;531.9;0.19;6.49;200.8;0.1082;0.1390;10.173;54.200
20;2016-05-18 16:15:00;0.00;484.4;0.19;6.31;200.8;0.1082;0.1384;9.657;54.500
21;2016-05-18 16:30:00;0.00;406.9;0.00;0.00;199.4;0.1082;0.1384;9.386;56.300
22;2016-05-18 16:45:00;0.00;504.4;0.00;0.00;199.4;0.1082;0.1384;9.485;55.200
23;2016-05-18 17:00:00;0.00;179.4;0.00;0.19;199.4;0.1082;0.1390;8.817;57.800
24;2016-05-18 17:15:00;0.00;445.6;0.00;0.37;198.0;0.1082;0.1384;9.312;58.400
25;2016-05-18 17:30:00;0.00;225.6;0.00;0.00;199.4;0.1082;0.1384;8.593;58.900
26;2016-05-18 17:45:00;0.00;118.1;0.00;0.00;205.0;0.1082;0.1384;8.270;60.500
27;2016-05-18 18:00:00;0.00;81.9;0.00;0.00;200.8;0.1082;0.1384;8.070;61.400
28;2016-05-18 18:15:00;0.00;75.6;0.00;0.00;212.0;0.1082;0.1384;7.895;62.000
29;2016-05-18 18:30:00;0.00;44.4;0.00;0.00;207.8;0.1082;0.1384;7.419;63.600
30;2016-05-18 18:45:00;0.00;38.1;0.00;0.00;231.6;0.1082;0.1384;7.368;61.600
31;2016-05-18 19:00:00;0.00;53.1;0.00;0.00;227.4;0.1082;0.1384;7.318;61.200
